name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
Taco Parlour,,"Mexican, American, Contemporary, Fusion, ",,"Vegetarian Friendly, ",,0.0,Rozengracht 160,The Netherlands,North Holland Province,"{'latitude': '52.37295', 'longitude': '4.878321'}",
Bouchee,,"European, ",,,"Bakery and cakery we serve lunch, breakfast, coffee and also take away warm meals.",5.0,Galileiplantsoen 94,The Netherlands,North Holland Province,"{'latitude': '52.35447', 'longitude': '4.94156'}",
Restaurant Argentino Luna,"Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, ","Steakhouse, Latin, Barbecue, Argentinean, ","Lunch, Dinner, ","Gluten Free Options, ","Momenteel zijn wij alleen OPEN voor TAKE AWAY. Van donderdag tot en met zondag vanaf 17.00uur tot 21.00uur. ZATERDAGS zijn we wel al vanaf 12.00uur beschikbaar om broodjes, empanadas, en andere heerlijkheden mee te nemen.",4.5,Lindengracht 152 Jordaan District,The Netherlands,North Holland Province,"{'latitude': '52.380367', 'longitude': '4.884657'}",https://media-cdn.tripadvisor.com/media/photo-o/13/a6/90/f6/juli-2018.jpg
Westergasterras,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Highchairs Available, ","Bar, Cafe, European, Dutch, International, ","Lunch, Brunch, Dinner, ","Vegetarian Friendly, ",,3.5,Klonne plein 4-6,The Netherlands,North Holland Province,"{'latitude': '52.386997', 'longitude': '4.869898'}",https://media-cdn.tripadvisor.com/media/photo-o/04/7b/19/12/westergas-terras.jpg
Cafe Van Beeren,"Outdoor Seating, Seating, Serves Alcohol, ",,"Drinks, ",,"traditional dutch pub with local beers on draught and bottle. We got beers from brouwerij t ij, oedipus, jopen, emelisse and much more",3.5,Nieuwendijk 129 Shoppingstreet,The Netherlands,North Holland Province,"{'latitude': '52.376045', 'longitude': '4.895636'}",https://media-cdn.tripadvisor.com/media/photo-o/08/50/6e/0d/cafe-van-beeren.jpg
Cropbox,,"Healthy, ",,"Vegan Options, Gluten Free Options, ","Cropbox delivers freshly dreamt-up, plant-based lunches around Amsterdam on Tuesdays, Wednesdays and Thursdays. Our signature approach ensures you're getting a delicious and well-balanced lunchbox every time. Our Cropboxes can be pre-ordered and are delivered around Amsterdam. Cropboxes are for delivery or take-away only",0.0,Tussen de Bogen 37,The Netherlands,North Holland Province,"{'latitude': '52.38352', 'longitude': '4.88779'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/33/17/52/german-box.jpg
Steakhouse Pizzeria Bergo,"Delivery, Takeout, Outdoor Seating, Accepts Credit Cards, ","Italian, Pizza, ","Lunch, Dinner, ",,Fresh and homemade dishes Sense in Italian,3.5,Van Limburg Stirumstraat 24,The Netherlands,North Holland Province,"{'latitude': '52.384014', 'longitude': '4.875354'}",https://media-cdn.tripadvisor.com/media/photo-o/10/f9/a1/86/steakhouse-pizzeria-bergo.jpg
Kinnaree Thai Cuisine,"Gift Cards Available, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, ","Asian, Thai, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",c0RTX19YMnE,4.5,Eerste Anjeliersdwarsstraat 14,The Netherlands,North Holland Province,"{'latitude': '52.378067', 'longitude': '4.883459'}",https://media-cdn.tripadvisor.com/media/photo-o/10/f5/76/d0/mix-kinnaree.jpg
Adesso Espresso,"Takeout, Seating, Wheelchair Accessible, ","Italian, French, Dutch, Cafe, European, Danish, ","Breakfast, Brunch, ","Vegetarian Friendly, ",,5.0,"Staalstraat, 14",The Netherlands,North Holland Province,"{'latitude': '52.368286', 'longitude': '4.897162'}",https://media-cdn.tripadvisor.com/media/photo-o/16/8b/26/3e/photo0jpg.jpg
pure pasie,,"French, ",,,,0.0,Schravezande,The Netherlands,North Holland Province,"{'latitude': '', 'longitude': ''}",
Nessst - CLOSED,"Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Street Parking, Accepts Mastercard, Accepts Visa, Digital Payments, ",,"Drinks, Lunch, Brunch, ",,"Nessst is situated in the formar Chewinggumfactory. Very close to several hotels and near a highway exit. Almost free parking. Make a choice out of our extended burger menu. Brunch on Sundays. 3 course menu for only 19,50 euro. Always check opening hours. On event days we might be open even if our timetable says ",0.0,Paul van Vlissingenstraat 2b,The Netherlands,North Holland Province,"{'latitude': '52.33408', 'longitude': '4.92175'}",https://media-cdn.tripadvisor.com/media/photo-o/18/6e/fc/93/caption.jpg
Scharrebier,"Seating, Wheelchair Accessible, Table Service, ","Dutch, Bar, Cafe, European, Pub, ","Lunch, Dinner, ",,,4.5,Rapenburgerplein 1,The Netherlands,North Holland Province,"{'latitude': '52.370354', 'longitude': '4.911478'}",https://media-cdn.tripadvisor.com/media/photo-o/0b/87/2b/7c/goed-toeven-op-het-terras.jpg
IJssalon Tofani,"Outdoor Seating, Takeout, Seating, Wheelchair Accessible, ","Cafe, Italian, ","Lunch, ",,,4.0,Kloveniersburgwal 16-III,The Netherlands,North Holland Province,"{'latitude': '52.37186', 'longitude': '4.89905'}",https://media-cdn.tripadvisor.com/media/photo-o/18/83/fd/54/photo0jpg.jpg
La Bella Vita Casto,,"Italian, ",,,,4.0,Koningin Wilhelminaplein 29,The Netherlands,North Holland Province,"{'latitude': '52.35324', 'longitude': '4.8411'}",
Ellis Gourmet Burger Prinsengracht BV - CLOSED,"Reservations, Outdoor Seating, Table Service, Gift Cards Available, ","American, Bar, Pub, ","Lunch, Dinner, Drinks, ",,WVFXX19rcWU,0.0,Prinsengracht 422,The Netherlands,North Holland Province,"{'latitude': '52.366287', 'longitude': '4.882493'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/1a/20/ee/black-lamba-parmesan.jpg
Farah's Roti,,"International, ",,,Surinaamse Specialiteiten,0.0,Tweede Keucheniusstraat 12,The Netherlands,North Holland Province,"{'latitude': '52.38072', 'longitude': '4.86903'}",
Mas Y Mas,"Reservations, Seating, Highchairs Available, Serves Alcohol, Free Wifi, Accepts Credit Cards, Wine and Beer, ","Italian, Steakhouse, European, Argentinean, ","Lunch, Dinner, Late Night, ",,,4.0,Damstraat 26/28 1012 JM Amsterdam,The Netherlands,North Holland Province,"{'latitude': '52.372158', 'longitude': '4.895031'}",https://media-cdn.tripadvisor.com/media/photo-o/17/91/b0/9f/20190512-212105-largejpg.jpg
Asian Fantasy,"Takeout, Seating, Table Service, Reservations, Wheelchair Accessible, ","Chinese, Asian, ","Lunch, Dinner, ","Vegetarian Friendly, ",,4.5,Bijlmerplein 561,The Netherlands,North Holland Province,"{'latitude': '52.314674', 'longitude': '4.954615'}",https://media-cdn.tripadvisor.com/media/photo-o/09/3f/8d/a2/asian-fantasy.jpg
Meneer De Wit Heeft Honger,"Reservations, Seating, Serves Alcohol, Table Service, Gift Cards Available, ","Seafood, Mediterranean, European, ","Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,4.5,Witte de Withstraat 10,The Netherlands,North Holland Province,"{'latitude': '52.365047', 'longitude': '4.859582'}",https://media-cdn.tripadvisor.com/media/photo-o/17/8f/82/fc/courgette-bloem.jpg
Trattoria Toto,"Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, ","Italian, Mediterranean, European, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, ",M3VuX19Femg,4.0,Eerste Constantijn Huygensstraat 112,The Netherlands,North Holland Province,"{'latitude': '52.362312', 'longitude': '4.875625'}",https://media-cdn.tripadvisor.com/media/photo-o/12/8e/dc/58/20180406-173154-largejpg.jpg
Angoletto,"Takeout, Reservations, Seating, Serves Alcohol, Table Service, ","Italian, Pizza, European, Mediterranean, ","Dinner, ","Vegetarian Friendly, ",,3.5,Hemonystraat 18,The Netherlands,North Holland Province,"{'latitude': '52.35738', 'longitude': '4.902172'}",https://media-cdn.tripadvisor.com/media/photo-o/09/bf/0d/97/photo-1445191945425-largejpg.jpg
Doner Plazam,"Seating, ","Turkish, Fast Food, ","Dinner, ",,,4.0,Slotermeerlaan 127,The Netherlands,North Holland Province,"{'latitude': '52.380817', 'longitude': '4.820991'}",https://media-cdn.tripadvisor.com/media/photo-o/09/93/14/59/front-facade-gevel-doner.jpg
Yumisushi - CLOSED,,"Japanese, Sushi, ","Lunch, Dinner, ","Vegetarian Friendly, ",,0.0,Max Euweplein 10,The Netherlands,North Holland Province,"{'latitude': '52.362785', 'longitude': '4.883854'}",https://media-cdn.tripadvisor.com/media/photo-o/0a/72/0e/a4/langoustine.jpg
Rabaab Restaurant,"Delivery, Takeout, Reservations, Seating, Table Service, ","Indian, Indonesian, Asian, ","Dinner, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, ",QTFEX19reWQ,4.0,Geldersekade 23,The Netherlands,North Holland Province,"{'latitude': '52.375565', 'longitude': '4.902222'}",https://media-cdn.tripadvisor.com/media/photo-o/04/55/89/18/indiaas-restaurant-vijaya.jpg
The Duchess,"Accepts Visa, Free Wifi, Reservations, Buffet, Private Dining, Seating, Street Parking, Validated Parking, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Credit Cards, Table Service, ","French, Mediterranean, European, ","Lunch, Dinner, Brunch, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",One MICHELIN Star,4.0,Spuistraat 172,The Netherlands,North Holland Province,"{'latitude': '52.372715', 'longitude': '4.889263'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/29/fa/87/the-grandeur.jpg
Dionysos,"Takeout, Reservations, Seating, Serves Alcohol, Table Service, Outdoor Seating, ","Mediterranean, European, Greek, ","Dinner, Lunch, ","Vegetarian Friendly, ",,4.0,Overtoom 176,The Netherlands,North Holland Province,"{'latitude': '52.361984', 'longitude': '4.872564'}",https://media-cdn.tripadvisor.com/media/photo-o/12/db/34/00/beter-is-er-niet-in-amsterdam.jpg
Maenaam Thai Restaurant,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, ","Asian, Thai, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",UW5uX19pTkY,4.5,Spuistraat 90a 1012TZ,The Netherlands,North Holland Province,"{'latitude': '52.375233', 'longitude': '4.891247'}",https://media-cdn.tripadvisor.com/media/photo-o/18/d7/cc/68/photo0jpg.jpg
Toetanchamon,"Reservations, Seating, Serves Alcohol, Takeout, Table Service, ","Dutch, International, European, Egyptian, ","Lunch, Dinner, ",,,4.0,Europaplein 67-69,The Netherlands,North Holland Province,"{'latitude': '52.34248', 'longitude': '4.8925'}",https://media-cdn.tripadvisor.com/media/photo-o/14/b4/ca/c3/20180918-215555-largejpg.jpg
Portofino,"Outdoor Seating, Seating, Serves Alcohol, Table Service, ","Italian, Pizza, European, ",,,,2.5,"Kloveniersburgwal 131 Centrum, De Wallen",The Netherlands,North Holland Province,"{'latitude': '52.368195', 'longitude': '4.896219'}",https://media-cdn.tripadvisor.com/media/photo-o/13/ed/48/f1/portofino-amsterdam.jpg
Vegan Junk Food Bar,"Delivery, Takeout, Outdoor Seating, Seating, Free Wifi, Accepts Credit Cards, Table Service, Digital Payments, ","Fast Food, International, Contemporary, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","Amsterdam is known for its good food, fun bars, and unique culture, however, it has more to offer than the Van Gogh Museum. If you want to avoid overcrowded places, you might want to check out this list of underrated things to do in Amsterdam",4.5,Staringplein 22,The Netherlands,North Holland Province,"{'latitude': '52.360325', 'longitude': '4.863194'}",https://media-cdn.tripadvisor.com/media/photo-o/12/d7/c2/fb/vegan-junkfood.jpg
MediaCafe Westergasfabriek,"Reservations, Seating, Wheelchair Accessible, Table Service, Serves Alcohol, ","Dutch, International, European, ","Dinner, Lunch, ","Vegetarian Friendly, ",,4.0,Pazzanistraat 21,The Netherlands,North Holland Province,"{'latitude': '52.38625', 'longitude': '4.873208'}",https://media-cdn.tripadvisor.com/media/photo-o/14/b0/9a/7b/photo0jpg.jpg
Donnies,"Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, ","Bar, Gastropub, Street Food, European, ","Dinner, Late Night, Drinks, Lunch, ","Vegetarian Friendly, Vegan Options, ",Doner done different Hi we're Donnies. A funky doner bar at the Gerard Douplein in Amsterdam where we do doner a little different. Think,4.5,Gerard Douplein 10,The Netherlands,North Holland Province,"{'latitude': '52.356007', 'longitude': '4.892572'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/1d/5b/8f/eat-your-classic-donnie.jpg
Shisha Wonder Bar Two,"Seating, ","Bar, Pub, ","Breakfast, Lunch, Dinner, ",,,4.0,Lange Niezel 5,The Netherlands,North Holland Province,"{'latitude': '52.375298', 'longitude': '4.898057'}",https://media-cdn.tripadvisor.com/media/photo-o/11/85/34/c6/bar.jpg
Bistro Bentinck - CLOSED,,"International, ","Dinner, ",,Cosy and informal bistro in upcoming neighbourhood Westerpark. Affordable french,0.0,Bentinckstraat 32,The Netherlands,North Holland Province,"{'latitude': '52.383564', 'longitude': '4.873943'}",https://media-cdn.tripadvisor.com/media/photo-o/19/94/7a/2f/zeebaars-schorseneren.jpg
Frietsteeg,,"Fast Food, ","Lunch, Dinner, ",,,3.0,Stadionkade 73 /A,The Netherlands,North Holland Province,"{'latitude': '52.34462', 'longitude': '4.86743'}",https://media-cdn.tripadvisor.com/media/photo-o/16/70/2c/32/huge-portion-of-sauce.jpg
